Month,Return,Cumulative_Return,Market_Return,Cumulative_Market
2018-10,0.08004348536791894,1.080043485367919,0.04105565819752539,1.0410556581975254
2018-11,0.07075989078515907,1.1564672444357755,0.00437732267857812,1.0456126947398157
2018-12,0.0351549744843458,1.1971228209058968,-0.006437446545099685,1.0388816189105505
2019-01,0.058188223724088314,1.2667812714339808,-0.006235518337531028,1.0324036535253098
2019-02,0.11860423882228344,1.4170268998867326,0.05773930711313671,1.092013925140932
2019-03,0.07144311808059121,1.5182637200187146,0.03524643257391294,1.130503520323186
2019-04,0.06939095806828847,1.623617494151137,-0.0017408325982969407,1.128535502942518
2019-05,0.12111205275821493,1.8202571417619304,0.032900981073936596,1.1656654281660954
2019-06,0.04917890390837736,1.9097753928251782,-0.025310484147798858,1.1361618718248603
2019-07,0.05184784689180316,2.008793134990111,-0.03757223413989832,1.0934737319558314
2019-08,0.13886672773179884,2.287747664336289,0.02793047690489993,1.1240149747723387
2019-09,0.09098505560474424,2.49589851278555,0.04273901886957701,1.172054271988821
2019-10,0.17850807154165585,2.9414365430665854,0.038955968034861815,1.2177127807435408
2019-11,0.04130505572130164,3.062932743378624,-0.00021890086022570497,1.2174462223683282
2019-12,0.0668281361415324,3.267622829745488,0.02212017872260105,1.2443763503922711
2020-01,0.09680426499669367,3.583942656065416,-0.01814534911553164,1.2217967070832922
2020-02,-0.09461054240231058,3.2448638974362893,-0.2220903119211613,0.9504474953029162
2020-03,0.14776629437973038,3.7243454113270196,-0.009290468864306975,0.9416173924406459
2020-04,0.1555290597506394,4.303589351337319,0.027830293074441195,0.9678228804362602
2020-05,0.18777077894567648,5.111677676100245,0.11493629532441048,1.0790608568438038
2020-06,0.3060986970469544,6.676355552478534,0.06819772435044687,1.1526503517161946
2020-07,0.08525002404650281,7.245515023870332,0.06377538445146125,1.2261610710350068
2020-08,0.21153775405885655,8.778214999019564,0.00406579847137917,1.2311463948432857
2020-09,0.08979797085380946,9.566480893649997,0.0198949329675637,1.2556399698419507
2020-10,0.23406993836359016,11.805706486783116,0.09731656973844649,1.3778345445334557
2020-11,0.08058100435976087,12.757022172664643,0.10978162861443962,1.5290954647935728
2020-12,0.09565456604961631,13.977289592676211,0.05835877934414507,1.6183316096195939
2021-01,0.15876558791075418,16.196402192256315,0.05842598716623397,1.7128842314739392
2021-02,0.14391218496893737,18.527261820379607,0.010816331387028965,1.7314113549491776
2021-03,0.0692415611490605,19.810118352640075,0.00737571991264539,1.7441817601568566
2021-04,0.18471403284769866,23.46932520474643,0.05339880700170651,1.8373189853433691
2021-05,0.06858129394900486,25.078881895397934,0.050766750377531755,1.9305936996361959
2021-06,0.10637537544646161,27.746657372798357,0.013422274852087716,1.9565066589004219
2021-07,0.15433574318201643,32.02895835924597,0.03571530518283961,2.0263838913153083
2021-08,0.13049652519825464,36.20862613084716,0.06698454427323167,2.1621202927976824
2021-09,0.15648006799497916,41.8745544098069,0.03344633899832629,2.2344353010657545
2021-10,0.1923622461573619,49.92963775291602,-0.015706018632667747,2.1993412185937253
2021-11,0.01708408443159545,50.78263989992581,-0.033445376033449034,2.125783424511994
2021-12,0.08742624930888632,55.222375636380114,0.03660565245876329,2.2035991137522797
2022-01,0.05299283901985141,58.148766098772576,-0.020567776474668953,2.158275979740844
2022-02,0.14930844022899512,66.83086766622097,-0.01042801982091403,2.135769435045104
2022-03,0.08810919483246372,72.71928160624662,0.04539240693163573,2.2327171503528214
2022-04,0.01429052394470488,73.75847824128243,-0.0680076630573587,2.0808752746892405
2022-05,0.164017831713472,85.85618391290288,-0.020600960311725102,2.0380072457417175
2022-06,0.127737351848866,96.82322548578631,0.03289754659588274,2.1050526840712522
2022-07,0.22557777215825797,118.66439298404664,0.09413030091987717,2.3032019266750745
2022-08,0.10759164681150216,131.4316904430875,0.014846634971863356,2.337396724946912
2022-09,0.05746816412179325,138.98482840027557,-0.0033806096220541882,2.3294948990879982
2022-10,0.07661039228246116,149.63251062533124,0.03878934706575148,2.41985448521662
2022-11,0.08792229524212966,162.78854440235273,0.0018161307950002614,2.4242492574666414
2022-12,0.037610793888607906,168.91115079329612,-0.02185152773484551,2.3712757075809305
2023-01,0.06938518006405808,180.63108140591623,-0.01665393809448196,2.3317846287419286
2023-02,0.15933161444578564,209.411323225409,-0.01969448174287993,2.285861338942843
2023-03,0.04318740319406108,218.4552544749466,0.03995589208168893,2.377194967915348
2023-04,0.058848096083330734,231.31093028019671,0.04927352530017564,2.4943277443103753
2023-05,0.022882961699853994,236.60400943855606,0.04451902819470219,2.6053727914861566
2023-06,0.04812132164494907,247.98970707923337,0.04844462074537736,2.731589088270028
2023-07,-0.026263723661274375,241.47657394166401,0.015177026663463747,2.7730464886963286
2023-08,0.03043798210694814,248.8266335785475,0.03694319170976565,2.875491676748329
2023-09,0.05825165372126908,263.3211964743942,-0.004033095689060072,2.8638945436629073
2023-10,0.05327891121092319,277.3506631213075,0.03190217559431027,2.9552590102784286
2023-11,0.20699099812537866,334.75975371152254,0.08789792202920536,3.2150201363399886
2023-12,-0.023093900385194537,327.0288453063364,0.03864133506904897,3.3392528066820413
2024-01,0.11813538100930161,365.66252254763236,0.0403762083960875,3.4740791738918553
2024-02,0.008945601679075701,368.9335938233095,0.018628939383598418,3.538797584236108
2024-03,-0.09045632623346353,335.56121630194406,0.023407552192794025,3.6216321733888486
2024-04,0.18778779481629254,398.57551713715907,0.012543721095546446,3.6670609172824955
2024-05,0.24166320750577658,494.89655504179854,0.045400638474629725,3.833547824252482
